date,year,title,simple_title,artist,main_artist,peak_pos,last_pos,weeks,rank,change,spotify_link,spotify_id,video_link,all_genre,main_genre,broad_genre,album,album_uri,num_songs_on_album,album_type,release_date
1/22/11,2011,Monster,monster,kanye west,kanye west,18,92,10,97,-5,https://embed.spotify.com/?uri=spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,1ZHYJ2Wwgxes4m8Ba88PeK,,"[u'pop rap', u'rap']",[u'rap'],rap,My Beautiful Dark Twisted Fantasy,spotify:album:20r762YmB5HeofjMCiPMLv,13,album,1/1/10
1/22/11,2011,Porn Star Dancing,porn star dancing,my darkest days,my darkest days,90,0,7,98,Re-Entry,https://embed.spotify.com/?uri=spotify:track:3Q8zopc4ABXhysDb1sgLVW,3Q8zopc4ABXhysDb1sgLVW,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71001026,"[u'alternative metal', u'nu metal', u'post-grunge', u'rap metal', u'rap rock']",[u'rap rock'],rap,My Darkest Days,spotify:album:2vFTIDhi10W1AdzL6GKpgO,11,album,1/1/10
1/22/11,2011,That's All She Wrote,that's all she wrote,t.i.,ti,18,88,5,99,-11,https://embed.spotify.com/?uri=spotify:track:4UwtMoKBvYi0mMbH2ZI3uB,4UwtMoKBvYi0mMbH2ZI3uB,,"[u'dance pop', u'dirty south rap', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",[u'trap music'],rap,No Mercy,spotify:album:6LGR2plk2Yk4A33CAktJN3,14,album,12/6/10
1/15/11,2011,Deuces,deuces,chris brown,chris brown,14,44,27,45,-1,https://embed.spotify.com/?uri=spotify:track:3QkXEz9TxApuk1JpDmeWnS,3QkXEz9TxApuk1JpDmeWnS,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USZM21000059,"[u'dance pop', u'pop', u'pop rap', u'r&b', u'rap']",[u'rap'],r&b,Deuces featuring Tyga & Kevin McCall,spotify:album:3pORIbXJiTlG5QbktnpOiy,2,single,6/25/10
1/15/11,2011,Love Like Woe,love like woe,the ready set,the ready set,27,34,21,37,-3,https://embed.spotify.com/?uri=spotify:track:4XRZbiVdsA5qv6f6qP70lS,4XRZbiVdsA5qv6f6qP70lS,,"[u'alternative pop rock', u'modern rock', u'pixie', u'pop emo', u'pop punk', u'post-teen pop']",[u'post-teen pop'],rock,"I'm Alive, I'm Dreaming (Deluxe)",spotify:album:1c1J0ix7ZDtmAhxFE04T4k,10,album,6/14/10
1/15/11,2011,Why Wait,why wait,rascal flatts,rascal flatts,48,97,20,89,8,https://embed.spotify.com/?uri=spotify:track:3uSeT5T2pOEx5fTdYFJasm,3uSeT5T2pOEx5fTdYFJasm,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USCJY1012011,"[u'contemporary country', u'country', u'country road', u'pop rock']",[u'pop rock'],country,Nothing Like This,spotify:album:7vb2No5vWyz3UhcMA9UdjG,11,album,1/1/10
1/15/11,2011,Check It Out,check it out,will.i.am,william,24,88,15,96,-8,https://embed.spotify.com/?uri=spotify:track:5tMoj9U1ZAJ3pOMndaShr7,5tMoj9U1ZAJ3pOMndaShr7,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71002185,[u'francoton'],[u'francoton'],unknown,Pink Friday (Deluxe),spotify:album:51HDsvvActcDmYy7NQl6oL,16,album,1/1/10
1/15/11,2011,Runaway,runaway,kanye west,kanye west,12,76,13,75,1,https://embed.spotify.com/?uri=spotify:track:3DK6m7It6Pw857FcQftMds,3DK6m7It6Pw857FcQftMds,,"[u'pop rap', u'rap']",[u'rap'],rap,My Beautiful Dark Twisted Fantasy,spotify:album:20r762YmB5HeofjMCiPMLv,13,album,1/1/10
1/15/11,2011,Shake,shake,jesse mccartney,jesse mccartney,54,89,12,95,-6,https://embed.spotify.com/?uri=spotify:track:1RxXS23GYj6WbaoLV9siTl,1RxXS23GYj6WbaoLV9siTl,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USH5V1021190,"[u'dance pop', u'neo mellow', u'pop', u'pop rock', u'post-teen pop', u'r&b', u'viral pop']",[u'viral pop'],r&b,Shake,spotify:album:3KWq0K6Fj16RYE7uRC4IO5,1,single,1/1/10
1/15/11,2011,A Year Without Rain,a year without rain,selena gomez,selena gomez,35,75,8,77,-2,https://embed.spotify.com/?uri=spotify:track:1hg36SXhZFx5jl0otL9mUS,1hg36SXhZFx5jl0otL9mUS,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USH5V1021151,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop'],pop,A Year Without Rain,spotify:album:2rxTiLaHxp9jctuczFwwHp,13,album,1/1/10
